State,2018
Uttar Pradesh,228959599
Maharashtra,120837347
Bihar,119461013
West Bengal,97694960
Madhya Pradesh,82342793
Rajasthan,78230816
Tamil Nadu,76481545
Karnataka,66165886
Gujarat,63907200
Andhra Pradesh,52883163
Odisha,45429399
Telangana,38472769
Jharkhand,37329128
Kerala,35330888
Assam,34586234
Punjab,29611935
Chhattisgarh,28566990
Haryana,27388008
Delhi,18345784
Jammu & Kashmir,13635010
Uttarakhand,11090425
Himachal Pradesh,7316708
Tripura,4057847
Meghalaya,3276323
Manipur,3008546
Nagaland,2189297
Goa,1542750
Arunachal Pradesh,1528296
Puducherry,1375592
Mizoram,1205974
Chandigarh,1126705
Sikkim,671720
A.& N.Islands,419978
D.& N.Haveli,378979
Daman & Diu,220084
Lakshadweep,71218
